ID,Geno,SizeRE,Genotype,PotPlug,Density,Chamber,Tray,Season,MatFr,ImmFr,Flowers,BasBr,PrimBr,TotBr,Height,FailedFr,LeafNum,Diam,Leaves dead when measured (Y= yes),SizeOrig
100,H,Big,E16_07,Pot,High,R24B,NA,Late,7,NA,0,1,0,1,123,0,NA,NA,NA,Big
30,E,Small,E16_T1_30,Plug,High,R24B,NA,Late,7,NA,0,1,1,2,76,1,NA,NA,NA,Big
53,B,Small,E16_T1_26,Plug,High,R24B,1,Early,8,1,NA,1,0,1,113,0,20,31.92,NA,Big
39,E,Small,E16_T1_30,Plug,Low,R21B,2,Early,8,44,NA,1,2,3,382,2,39,60.45,NA,Big
182,D,Small,E03_T1_35,Plug,Low,R21B,2,Early,8,151,NA,1,15,16,439,0,32,79.19,NA,Small
130,C,Small,E03_04,Pot,High,R25B,1,Early,9,5,NA,1,0,1,153,0,24,31.64,NA,Big
32,E,Small,E16_T1_30,Plug,High,R23T,2,Early,9,17,NA,1,0,1,198,0,26,40.05,NA,Big
29,E,Small,E16_T1_30,Plug,High,R24B,2,Early,9,27,NA,1,0,1,286,0,27,42.51,NA,Big
127,C,Small,E03_04,Pot,High,R23T,1,Early,9,29,NA,1,4,5,259,0,25,48.66,NA,Big
191,D,Small,E03_T1_35,Plug,Low,R25T,2,Early,9,121,NA,1,8,9,257,1,32,84.48,NA,Small
124,C,Small,E03_04,Pot,High,R24B,NA,Late,9,NA,0,1,0,1,111,1,NA,NA,NA,Big
275,F,Small,E03_06,Pot,High,R25B,1,Early,10,24,NA,1,3,4,247,2,27,42.42,NA,Small
227,G,Big,E16_04,Pot,High,R25B,NA,Late,10,NA,0,1,0,1,116,0,NA,NA,NA,Small
153,A,Small,E03_T1_29,Plug,High,R23T,1,Early,11,16,NA,1,5,6,239,0,22,49.27,NA,Small
184,D,Small,E03_T1_35,Plug,Low,R24T,2,Early,11,155,NA,1,9,10,455,0,33,81.08,NA,Small
185,D,Small,E03_T1_35,Plug,Low,R24T,1,Early,11,233,NA,1,10,11,444,1,45,109.05,NA,Small
10,I,Big,E16_20,Pot,High,R25B,NA,Late,11,NA,1,1,0,1,121,0,NA,NA,NA,Big
60,B,Small,E16_T1_26,Plug,High,R25B,NA,Late,11,NA,0,1,0,1,124,0,NA,NA,NA,Big
97,H,Big,E16_07,Pot,High,R21T,NA,Late,11,NA,0,1,0,1,179,0,NA,NA,NA,Big
55,B,Small,E16_T1_26,Plug,High,R23T,NA,Late,11,NA,0,1,1,2,102,0,NA,NA,NA,Big
246,L,Big,E16_23,Pot,High,R24B,NA,Late,11,NA,1,1,2,3,143,0,NA,NA,NA,Small
148,A,Small,E03_T1_29,Plug,High,R24B,1,Early,12,4,NA,1,0,1,162,0,22,40.92,NA,Small
131,C,Small,E03_04,Pot,High,R25B,2,Early,12,11,NA,1,0,1,21,1,21,43.83,NA,Big
57,B,Small,E16_T1_26,Plug,High,R23T,1,Early,12,14,NA,1,3,4,171,0,19,46.9,NA,Big
135,C,Small,E03_04,Pot,Low,R21B,2,Early,12,86,NA,1,7,8,325,0,35,78.79,NA,Big
281,F,Small,E03_06,Pot,Low,R24T,1,Early,12,103,NA,1,4,5,444,1,56,80.48,NA,Small
220,G,Big,E16_04,Pot,High,R24B,NA,Late,12,NA,0,1,0,1,175,0,NA,NA,NA,Small
53,B,Small,E16_T1_26,Plug,High,R24B,NA,Late,12,NA,1,1,1,2,115,0,NA,NA,NA,Big
178,D,Small,E03_T1_35,Plug,High,R25B,1,Early,13,5,NA,1,4,5,191,0,23,39.13,NA,Small
35,E,Small,E16_T1_30,Plug,High,R25B,1,Early,13,16,NA,1,0,1,22,0,22,40.84,NA,Big
93,J,Big,E16_19,Pot,Low,R20B,1,Early,13,84,NA,1,5,6,529,2,50,89.31,NA,Big
96,J,Big,E16_19,Pot,Low,R25T,1,Early,13,162,NA,1,10,30,452,0,62,106.24,NA,Big
166,A,Small,E03_T1_29,Plug,Low,R25T,2,Early,13,285,NA,1,12,16,396,0,30,93.78,NA,Small
218,G,Big,E16_04,Pot,High,R21T,NA,Late,13,NA,0,1,0,1,165,1,NA,NA,NA,Small
156,A,Small,E03_T1_29,Plug,High,R25B,1,Early,14,10,NA,1,7,8,257,0,16,33.58,NA,Small
132,C,Small,E03_04,Pot,High,R25B,2,Early,14,32,NA,1,4,5,24,0,23,52.06,NA,Big
278,F,Small,E03_06,Pot,Low,R21B,1,Early,14,41,NA,1,3,4,419,7,38,67.43,NA,Small
47,E,Small,E16_T1_30,Plug,Low,R25T,1,Early,14,104,NA,1,7,9,419,1,55,88.79,NA,Big
160,A,Small,E03_T1_29,Plug,Low,R24T,2,Early,14,174,NA,1,12,13,449,0,38,85.01,NA,Small
169,D,Small,E03_T1_35,Plug,High,R21T,NA,Late,14,NA,3,1,0,1,146,0,NA,NA,NA,Small
101,H,Big,E16_07,Pot,High,R24B,NA,Late,14,NA,3,1,2,4,284,4,NA,NA,NA,Big
155,A,Small,E03_T1_29,Plug,High,R25B,1,Early,15,0,NA,1,4,5,182,0,17,36.69,NA,Small
62,B,Small,E16_T1_26,Plug,Low,R21B,1,Early,15,108,NA,2,7,9,273,1,38,90.03,NA,Big
37,E,Small,E16_T1_30,Plug,Low,R21B,2,Early,15,138,NA,1,7,8,393,0,49,80.89,NA,Big
40,E,Small,E16_T1_30,Plug,Low,R24T,1,Early,15,143,NA,1,4,5,409,0,51,91.66,NA,Big
78,J,Big,E16_19,Pot,High,R24B,NA,Late,15,NA,0,1,0,1,127,0,NA,NA,NA,Big
228,G,Big,E16_04,Pot,High,R25B,NA,Late,15,NA,0,1,0,1,189,1,NA,NA,NA,Small
102,H,Big,E16_07,Pot,High,R24B,NA,Late,15,NA,1,1,0,1,218,0,NA,NA,NA,Big
149,A,Small,E03_T1_29,Plug,High,R24B,1,Early,16,1,NA,1,0,1,179,0,24,47.59,NA,Small
273,F,Small,E03_06,Pot,High,R23T,1,Early,16,17,NA,1,0,1,233,1,33,37.75,NA,Small
150,A,Small,E03_T1_29,Plug,High,R24B,2,Early,16,39,NA,1,8,9,353,0,27,60.3,NA,Small
266,F,Small,E03_06,Pot,High,R21T,2,Early,16,116,NA,1,5,6,383,0,41,88.81,NA,Small
279,F,Small,E03_06,Pot,Low,R21B,1,Early,16,157,NA,1,6,7,444,7,39,87.54,NA,Small
151,A,Small,E03_T1_29,Plug,High,R23T,2,Early,17,72,NA,1,6,7,331,0,23,59.05,NA,Small
130,C,Small,E03_04,Pot,High,R25B,NA,Late,17,NA,0,1,2,3,154,2,NA,NA,NA,Big
174,D,Small,E03_T1_35,Plug,High,R24B,1,Early,18,0,NA,1,0,1,201,0,18,31.95,NA,Small
173,D,Small,E03_T1_35,Plug,High,R24B,2,Early,18,6,NA,1,0,1,226,0,28,43.85,NA,Small
282,F,Small,E03_06,Pot,Low,R24T,1,Early,18,135,NA,1,6,7,453,7,36,80.09,NA,Small
48,E,Small,E16_T1_30,Plug,Low,R25T,2,Early,18,139,NA,1,6,7,368,0,38,97.27,NA,Big
77,J,Big,E16_19,Pot,High,R24B,NA,Late,18,NA,0,1,0,1,119,1,NA,NA,NA,Big
12,I,Big,E16_20,Pot,High,R25B,NA,Late,18,NA,0,1,0,1,156,0,NA,NA,NA,Big
8,I,Big,E16_20,Pot,High,R23T,NA,Late,18,NA,2,1,1,2,211,0,NA,NA,NA,Big
224,G,Big,E16_04,Pot,High,R23T,NA,Late,18,NA,1,1,2,3,201,0,NA,NA,NA,Small
14,I,Big,E16_20,Pot,Low,R21B,NA,Late,18,NA,6,1,3,4,217,0,NA,NA,NA,Big
179,D,Small,E03_T1_35,Plug,High,R25B,1,Early,19,0,NA,1,0,1,199,0,23,39.37,NA,Small
128,C,Small,E03_04,Pot,High,R23T,1,Early,19,8,NA,1,3,4,221,0,22,42.24,NA,Big
36,E,Small,E16_T1_30,Plug,High,R25B,2,Early,19,15,NA,1,1,2,258,0,24,41.72,NA,Big
152,A,Small,E03_T1_29,Plug,High,R23T,2,Early,19,31,NA,1,7,8,29,0,26,62.67,NA,Small
56,B,Small,E16_T1_26,Plug,High,R23T,1,Early,19,32,NA,1,3,4,197,0,25,60.14,NA,Big
176,D,Small,E03_T1_35,Plug,High,R23T,2,Early,19,39,NA,1,5,6,32,0,26,56.64,NA,Small
186,D,Small,E03_T1_35,Plug,Low,R24T,1,Early,19,202,NA,1,12,14,437,1,28,96.14,NA,Small
180,D,Small,E03_T1_35,Plug,High,R25B,1,Early,20,5,NA,1,6,7,257,0,27,39.63,NA,Small
251,L,Big,E16_23,Pot,High,R25B,NA,Late,20,NA,0,1,0,1,216,0,NA,NA,NA,Small
248,L,Big,E16_23,Pot,High,R23T,NA,Late,20,NA,0,1,0,1,218,0,NA,NA,NA,Small
107,H,Big,E16_07,Pot,High,R25B,NA,Late,20,NA,0,1,0,1,315,0,NA,NA,NA,Big
204,K,Big,E16_06,Pot,High,R25B,NA,Late,20,NA,1,1,3,4,232,2,NA,NA,NA,Small
59,B,Small,E16_T1_26,Plug,High,R25B,1,Early,21,14,NA,1,3,4,192,0,20,46.22,NA,Big
